id,x,y,z,cost,value,rock_tonnes,ore_tonnes,blockvalue,period
0,13,17,10,64395.01407,95076.276,71550.01563,71550.0,30681.26193,5
1,14,17,10,64503.01407,148258.148,71670.01563,71670.0,83755.13392999998,5
2,15,17,10,65016.00703,223559.0336,72240.00781,72240.0,158543.02657,5
3,16,17,10,65124.0,372664.0976,72360.0,72360.0,307540.0976,4
4,17,17,10,65124.0,531604.448,72360.0,72360.0,466480.448,4
5,18,17,10,65124.0,603718.6768,72360.0,72360.0,538594.6768,4
6,12,18,10,64395.01407,57730.568,71550.01563,71550.0,-6664.446069999998,5
7,13,18,10,64395.01407,128856.12,71550.01563,71550.0,64461.10593,5
8,14,18,10,64395.01407,188341.94,71550.01563,71550.0,123946.92593,4
9,15,18,10,64503.01407,299492.536,71670.01563,71670.0,234989.52193000002,4
10,16,18,10,65070.0,400023.744,72300.0,72300.0,334953.744,3
11,17,18,10,65124.0,500364.6816,72360.0,72360.0,435240.6816,2
12,18,18,10,65124.0,556444.4848,72360.0,72360.0,491320.4848,1
13,19,18,10,65124.0,570940.0432,72360.0,72360.0,505816.04319999996,1
14,11,19,10,60273.0,0.0,66970.0,0.0,-60273.0,5
15,12,19,10,64170.0,41108.072,71300.0,68900.0,-23061.928,5
16,13,19,10,64395.01407,164589.764,71550.01563,71550.0,100194.74992999999,4
17,14,19,10,64395.01407,238740.536,71550.01563,71550.0,174345.52193,4
18,15,19,10,64395.01407,317996.504,71550.01563,71550.0,253601.48993,3
19,16,19,10,64638.01407,433897.2464,71820.01563,71820.0,369259.23233,2
20,17,19,10,64989.00703,497957.0768,72210.00781,72210.0,432968.06977,2
21,18,19,10,65124.0,530051.5424,72360.0,72360.0,464927.54240000003,1
22,19,19,10,65124.0,590910.0128,72360.0,72360.0,525786.0128,1
23,11,20,10,58536.0,0.0,65040.0,0.0,-58536.0,5
24,12,20,10,64719.01407,27316.0536,71910.01563,71910.0,-37402.96047,4
25,13,20,10,64395.01407,258879.568,71550.01563,71550.0,194484.55393,3
26,14,20,10,64395.01407,351555.624,71550.01563,71550.0,287160.60993000004,3
27,15,20,10,64395.01407,366978.184,71550.01563,71550.0,302583.16993000003,2
28,16,20,10,64395.01407,446911.312,71550.01563,71550.0,382516.29793,2
29,17,20,10,64530.01407,512309.624,71700.01563,71700.0,447779.60993000004,1
30,18,20,10,64881.00703,576375.4656,72090.00781,72090.0,511494.45857,1
31,19,20,10,65097.0,641847.44,72330.0,72330.0,576750.44,1
32,20,20,10,65124.0,637153.5392,72360.0,72360.0,572029.5392,1
33,11,21,10,64008.0,0.0,71120.0,0.0,-64008.0,4
34,12,21,10,65097.0,103297.2608,72330.0,72330.0,38200.260800000004,3
35,13,21,10,64503.0211,337411.36,71670.02344,71670.0,272908.3389,3
36,14,21,10,64395.01407,430583.744,71550.01563,71550.0,366188.72993000003,2
37,15,21,10,64395.01407,429007.872,71550.01563,71550.0,364612.85793,2
38,16,21,10,64395.01407,484056.632,71550.01563,71550.0,419661.61793,1
39,17,21,10,64395.01407,536578.576,71550.01563,71550.0,472183.56193,1
40,18,21,10,64449.01407,576195.5696,71610.01563,71610.0,511746.55553000007,0
41,19,21,10,64746.00703,624919.0304,71940.00781,71940.0,560173.0233700001,1
42,20,21,10,65043.00703,578103.2768,72270.00781,72270.0,513060.26977,1
43,21,21,10,65124.0,490552.0384,72360.0,72360.0,425428.0384,1
44,11,22,10,64512.0,2788.7008,71680.0,69680.0,-61723.2992,4
45,12,22,10,65124.0,268678.3248,72360.0,72360.0,203554.3248,3
46,13,22,10,64908.00703,461631.216,72120.00781,72120.0,396723.20897000004,2
