id,x,y,z,cost,value,rock_tonnes,ore_tonnes,blockvalue,period
0,0,24,28,20122.8,0.0,5528.25,0.0,-20122.8,
1,0,25,28,20122.8,0.0,5528.25,0.0,-20122.8,
2,0,26,28,20122.8,0.0,5528.25,0.0,-20122.8,
3,0,27,28,20122.8,0.0,5528.25,0.0,-20122.8,
4,0,28,28,20122.8,0.0,5528.25,0.0,-20122.8,
5,0,29,28,20122.8,0.0,5528.25,0.0,-20122.8,
6,0,30,28,20122.8,0.0,5528.25,0.0,-20122.8,13
7,0,31,28,20122.8,0.0,5528.25,0.0,-20122.8,13
8,0,32,28,20122.8,0.0,5528.25,0.0,-20122.8,13
9,0,33,28,20122.8,0.0,5528.25,0.0,-20122.8,13
10,0,34,28,20122.8,0.0,5528.25,0.0,-20122.8,
11,0,35,28,20122.8,0.0,5528.25,0.0,-20122.8,
12,0,36,28,20122.8,0.0,5528.25,0.0,-20122.8,
13,1,20,28,20122.8,0.0,5528.25,0.0,-20122.8,
14,1,21,28,20122.8,0.0,5528.25,0.0,-20122.8,13
15,1,22,27,20509.8,0.0,5528.25,0.0,-20509.8,
16,1,22,28,20122.8,0.0,5528.25,0.0,-20122.8,13
17,1,23,27,20509.8,0.0,5528.25,0.0,-20509.8,
18,1,23,28,20122.8,0.0,5528.25,0.0,-20122.8,13
19,1,24,27,20509.8,0.0,5528.25,0.0,-20509.8,
20,1,24,28,20122.8,0.0,5528.25,0.0,-20122.8,12
21,1,25,27,20509.8,0.0,5528.25,0.0,-20509.8,13
22,1,25,28,20122.8,0.0,5528.25,0.0,-20122.8,12
23,1,26,26,20896.8,0.0,5528.25,0.0,-20896.8,
24,1,26,27,20509.8,0.0,5528.25,0.0,-20509.8,13
25,1,26,28,20122.8,0.0,5528.25,0.0,-20122.8,12
26,1,27,26,20896.8,0.0,5528.25,0.0,-20896.8,
27,1,27,27,20509.8,0.0,5528.25,0.0,-20509.8,13
28,1,27,28,20122.8,0.0,5528.25,0.0,-20122.8,12
29,1,28,26,20896.8,0.0,5528.25,0.0,-20896.8,
30,1,28,27,20509.8,0.0,5528.25,0.0,-20509.8,13
31,1,28,28,20122.8,0.0,5528.25,0.0,-20122.8,12
32,1,29,26,20896.8,0.0,5528.25,0.0,-20896.8,
33,1,29,27,20509.8,0.0,5528.25,0.0,-20509.8,13
34,1,29,28,20122.8,0.0,5528.25,0.0,-20122.8,12
35,1,30,26,20896.8,0.0,5528.25,0.0,-20896.8,
36,1,30,27,20509.8,0.0,5528.25,0.0,-20509.8,13
37,1,30,28,20122.8,0.0,5528.25,0.0,-20122.8,12
38,1,31,26,20896.8,0.0,5528.25,0.0,-20896.8,
39,1,31,27,20509.8,0.0,5528.25,0.0,-20509.8,13
40,1,31,28,20122.8,0.0,5528.25,0.0,-20122.8,12
41,1,32,26,20896.8,0.0,5528.25,0.0,-20896.8,
42,1,32,27,20509.8,0.0,5528.25,0.0,-20509.8,13
43,1,32,28,20122.8,0.0,5528.25,0.0,-20122.8,12
44,1,33,26,20896.8,0.0,5528.25,0.0,-20896.8,
45,1,33,27,20509.8,0.0,5528.25,0.0,-20509.8,13
46,1,33,28,20122.8,0.0,5528.25,0.0,-20122.8,12
47,1,34,26,20896.8,0.0,5528.25,0.0,-20896.8,
48,1,34,27,20509.8,0.0,5528.25,0.0,-20509.8,13
49,1,34,28,20122.8,0.0,5528.25,0.0,-20122.8,12
50,1,35,27,20509.8,0.0,5528.25,0.0,-20509.8,13
51,1,35,28,20122.8,0.0,5528.25,0.0,-20122.8,12
52,1,36,27,20509.8,0.0,5528.25,0.0,-20509.8,
53,1,36,28,20122.8,0.0,5528.25,0.0,-20122.8,12
54,1,37,27,20509.8,0.0,5528.25,0.0,-20509.8,
55,1,37,28,20122.8,0.0,5528.25,0.0,-20122.8,13
56,1,38,27,20509.8,0.0,5528.25,0.0,-20509.8,
57,1,38,28,20122.8,0.0,5528.25,0.0,-20122.8,13
58,1,39,28,20122.8,0.0,5528.25,0.0,-20122.8,
59,2,16,28,20122.8,0.0,5528.25,0.0,-20122.8,
60,2,17,28,20122.8,0.0,5528.25,0.0,-20122.8,
61,2,18,27,20509.8,0.0,5528.25,0.0,-20509.8,
62,2,18,28,20122.8,0.0,5528.25,0.0,-20122.8,13
63,2,19,27,20509.8,0.0,5528.25,0.0,-20509.8,
64,2,19,28,20122.8,0.0,5528.25,0.0,-20122.8,13
65,2,20,27,20509.8,0.0,5528.25,0.0,-20509.8,
66,2,20,28,20122.8,0.0,5528.25,0.0,-20122.8,12
67,2,21,26,20896.8,0.0,5528.25,0.0,-20896.8,
68,2,21,27,20509.8,0.0,5528.25,0.0,-20509.8,13
69,2,21,28,20122.8,0.0,5528.25,0.0,-20122.8,12
70,2,22,26,20896.8,0.0,5528.25,0.0,-20896.8,
71,2,22,27,20509.8,0.0,5528.25,0.0,-20509.8,12
72,2,22,28,20122.8,0.0,5528.25,0.0,-20122.8,12
73,2,23,26,20896.8,0.0,5528.25,0.0,-20896.8,13
74,2,23,27,20509.8,0.0,5528.25,0.0,-20509.8,12
75,2,23,28,20122.8,0.0,5528.25,0.0,-20122.8,12
76,2,24,25,21283.725,0.0,5528.25,0.0,-21283.725,
