id,x,y,z,tonn,blockvalue,destination,au,ag,cu,period
0,58,11,64,3120.0,-5116,0,0.0,1.108,0.0,3
1,59,11,64,3120.0,-4087,1,0.0,1.108,0.0,
2,60,11,64,3120.0,-4087,1,0.0,1.108,0.0,
3,61,11,64,3120.0,-4087,1,0.0,1.108,0.0,
4,56,12,64,3120.0,-5116,0,0.0,1.108,0.0,1
5,57,12,64,3120.0,-5116,0,0.0,1.108,0.0,1
6,58,12,64,3120.0,-5116,0,0.0,1.108,0.0,3
7,59,12,64,3120.0,-5116,0,0.0,1.108,0.0,5
8,60,12,64,3120.0,-4087,1,0.0,1.108,0.0,
9,61,12,64,3120.0,-4087,1,0.0,1.108,0.0,
10,55,13,64,3120.0,-5116,0,0.0,1.108,0.0,1
11,56,13,64,3120.0,-5116,0,0.0,1.108,0.0,1
12,57,13,64,3120.0,-5116,0,0.0,1.108,0.0,1
13,58,13,64,3120.0,-5116,0,0.0,1.108,0.0,3
14,59,13,64,3120.0,-5116,0,0.0,1.108,0.0,3
15,60,13,64,3120.0,-5116,0,0.0,1.108,0.0,5
16,61,13,64,3120.0,-5116,0,0.0,1.108,0.0,
17,53,14,64,3120.0,-5116,0,0.0,1.108,0.0,0
18,54,14,64,3120.0,-5116,0,0.0,1.108,0.0,0
19,55,14,64,3120.0,-5116,0,0.0,1.108,0.0,1
20,56,14,64,3120.0,-5116,0,0.0,1.108,0.0,1
21,57,14,64,3120.0,-5116,0,0.0,1.108,0.0,1
22,58,14,64,3120.0,-5116,0,0.0,1.108,0.0,3
23,59,14,64,3120.0,-5116,0,0.0,1.108,0.0,2
24,60,14,64,3120.0,-5116,0,0.0,1.108,0.0,3
25,61,14,64,3120.0,-5116,0,0.0,1.108,0.0,3
26,53,15,64,3120.0,-5116,0,0.0,1.108,0.0,0
27,54,15,64,3120.0,-5116,0,0.0,1.108,0.0,1
28,55,15,64,3120.0,-5116,0,0.0,1.108,0.0,1
29,56,15,64,3120.0,-5116,0,0.0,1.108,0.0,1
30,57,15,64,3120.0,-5116,0,0.0,1.108,0.0,1
31,58,15,64,3120.0,-5116,0,0.0,1.108,0.0,1
32,59,15,64,3120.0,-5116,0,0.0,1.108,0.0,1
33,60,15,64,4149.6,47773,1,0.036,1.146,0.109,0
34,61,15,64,4258.8,57433,1,0.041,1.146,0.089,0
35,54,16,64,3120.0,-5116,0,0.0,1.108,0.0,1
36,55,16,64,3120.0,-5116,0,0.0,1.108,0.0,1
37,56,16,64,3120.0,-5116,0,0.0,1.108,0.0,1
38,57,16,64,3120.0,-5116,0,0.0,1.108,0.0,1
39,58,16,64,3120.0,-5116,0,0.0,1.108,0.0,0
40,59,16,64,4258.8,44355,1,0.032,1.146,0.127,0
41,60,16,64,4258.8,46974,1,0.034,1.146,0.113,0
42,61,16,64,4258.8,106979,1,0.065,1.146,0.097,0
43,54,17,64,3120.0,-5116,0,0.0,1.108,0.0,0
44,55,17,64,3120.0,-5116,0,0.0,1.108,0.0,1
45,56,17,64,3120.0,-5116,0,0.0,1.108,0.0,1
46,57,17,64,4414.8,-7240,0,0.0,1.108,0.0,1
47,58,17,64,4149.6,-6805,0,0.024,1.146,0.208,2
48,59,17,64,4258.8,52863,1,0.031,1.146,0.238,0
49,60,17,64,4258.8,113929,1,0.029,1.146,0.806,0
50,61,17,64,4258.8,84575,1,0.03,1.146,0.532,0
51,54,18,64,3120.0,-5116,0,0.0,1.108,0.0,1
52,55,18,64,3120.0,-5116,0,0.0,1.108,0.0,1
53,56,18,64,4414.8,-6120,1,0.012,0.824,0.12,1
54,57,18,64,4414.8,13321,1,0.015,0.824,0.244,1
55,58,18,64,4149.6,-6805,0,0.023,1.074,0.242,3
56,59,18,64,4149.6,25971,1,0.031,1.074,0.051,1
57,60,18,64,4258.8,40142,1,0.03,1.074,0.144,0
58,61,18,64,4258.8,82902,1,0.029,1.074,0.56,0
59,55,19,64,4414.8,2281,1,0.015,0.824,0.12,1
60,56,19,64,4414.8,-3056,1,0.014,0.824,0.104,1
61,57,19,64,4414.8,-7240,0,0.013,0.824,0.038,1
62,58,19,64,4149.6,-6805,0,0.013,1.074,0.028,3
63,59,19,64,4149.6,6549,1,0.02,1.074,0.05,2
64,60,19,64,4149.6,33792,1,0.032,1.074,0.16,0
65,61,19,64,4258.8,32447,1,0.026,1.074,0.136,0
66,58,20,64,4258.8,-6984,0,0.012,1.074,0.028,3
67,59,20,64,4149.6,-6805,0,0.012,1.074,0.047,5
68,60,20,64,4149.6,-3502,1,0.014,1.074,0.073,5
69,61,20,64,4258.8,30752,1,0.026,1.074,0.131,0
70,58,21,64,4258.8,-6984,0,0.011,1.074,0.021,3
71,59,21,64,4258.8,-6984,0,0.012,1.074,0.04,3
72,60,21,64,4149.6,-2516,1,0.014,1.074,0.117,5
73,61,21,64,4149.6,-6805,0,0.013,1.074,0.052,5
74,58,22,64,4258.8,-6984,0,0.011,1.074,0.02,3
75,59,22,64,4258.8,-6984,0,0.01,1.074,0.039,3
