id,x,y,z,tonn,au,cu,profit_proc,blockvalue,destination,period
0,0,0,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
1,0,0,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
2,0,0,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
3,0,0,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
4,0,0,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
5,0,0,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
6,0,0,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
7,0,0,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
8,0,0,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
9,0,0,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
10,0,0,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
11,0,0,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
12,0,0,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
13,0,0,13,52503.559,0.0,0.0,-4.0,-47253.2031,0,
14,0,1,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
15,0,1,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
16,0,1,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
17,0,1,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
18,0,1,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
19,0,1,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
20,0,1,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
21,0,1,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
22,0,1,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
23,0,1,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
24,0,1,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
25,0,1,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
26,0,1,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
27,0,1,13,54720.242,0.0,0.0,-4.0,-49248.2178,0,
28,0,2,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
29,0,2,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
30,0,2,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
31,0,2,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
32,0,2,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
33,0,2,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
34,0,2,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
35,0,2,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
36,0,2,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
37,0,2,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
38,0,2,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
39,0,2,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
40,0,2,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
41,0,2,13,56354.565,0.0,0.0,-4.0,-50719.1085,0,
42,0,3,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
43,0,3,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
44,0,3,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
45,0,3,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
46,0,3,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
47,0,3,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
48,0,3,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
49,0,3,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
50,0,3,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
51,0,3,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
52,0,3,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
53,0,3,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
54,0,3,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
55,0,3,13,57022.087,0.0,0.0,-4.0,-51319.878300000004,0,
56,0,4,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
57,0,4,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
58,0,4,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
59,0,4,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
60,0,4,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
61,0,4,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
62,0,4,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
63,0,4,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
64,0,4,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
65,0,4,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
66,0,4,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
67,0,4,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
68,0,4,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
69,0,4,13,57465.794,0.0,0.0,-4.0,-51719.2146,0,
70,0,5,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
71,0,5,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
72,0,5,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
73,0,5,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
74,0,5,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
75,0,5,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
76,0,5,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
77,0,5,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
78,0,5,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
79,0,5,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
80,0,5,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
81,0,5,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
82,0,5,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
83,0,5,13,58261.105,0.0,0.0,-4.0,-52434.9945,0,
84,0,6,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
85,0,6,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
86,0,6,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
87,0,6,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
88,0,6,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
89,0,6,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
90,0,6,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
91,0,6,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
92,0,6,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
93,0,6,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
94,0,6,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
95,0,6,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
96,0,6,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
97,0,6,13,58747.62,0.0,0.0,-4.0,-52872.858,0,
98,0,7,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
99,0,7,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
100,0,7,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
101,0,7,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
102,0,7,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
103,0,7,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
104,0,7,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
105,0,7,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
106,0,7,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
107,0,7,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
108,0,7,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
109,0,7,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
110,0,7,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
111,0,7,13,56744.579,0.0,0.0,-4.0,-51070.1211,0,
112,0,8,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
113,0,8,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
114,0,8,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
115,0,8,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
116,0,8,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
117,0,8,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
118,0,8,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
119,0,8,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
120,0,8,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
121,0,8,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
122,0,8,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
123,0,8,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
124,0,8,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
125,0,8,13,56824.886,0.0,0.0,-4.0,-51142.3974,0,
126,0,9,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
127,0,9,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
128,0,9,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
129,0,9,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
130,0,9,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
131,0,9,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
132,0,9,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
133,0,9,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
134,0,9,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
135,0,9,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
136,0,9,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
137,0,9,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
138,0,9,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
139,0,9,13,57773.716,0.0,0.0,-4.0,-51996.3444,0,
140,0,10,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
141,0,10,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
142,0,10,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
143,0,10,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
144,0,10,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
145,0,10,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
146,0,10,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
147,0,10,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
148,0,10,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
149,0,10,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
150,0,10,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
151,0,10,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
152,0,10,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
153,0,10,13,60259.865,0.0,0.0,-4.0,-54233.8785,0,
154,0,10,14,59.509,0.0,0.0,-4.0,-53.5581,0,
155,0,11,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
156,0,11,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
157,0,11,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
158,0,11,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
159,0,11,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
160,0,11,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
161,0,11,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
162,0,11,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
163,0,11,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
164,0,11,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
165,0,11,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
166,0,11,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
167,0,11,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
168,0,11,13,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
169,0,11,14,1962.494,0.0,0.0,-4.0,-1766.2446,0,
170,0,12,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
171,0,12,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
172,0,12,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
173,0,12,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
174,0,12,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
175,0,12,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
176,0,12,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
177,0,12,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
178,0,12,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
179,0,12,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
180,0,12,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
181,0,12,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
182,0,12,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
183,0,12,13,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
184,0,12,14,4540.359,0.0,0.0,-4.0,-4086.3231000000005,0,
185,0,13,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
186,0,13,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
187,0,13,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
188,0,13,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
189,0,13,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
190,0,13,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
191,0,13,6,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
192,0,13,7,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
193,0,13,8,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
194,0,13,9,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
195,0,13,10,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
196,0,13,11,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
197,0,13,12,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
198,0,13,13,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
199,0,13,14,6963.409,0.0,0.0,-4.0,-6267.0680999999995,0,
200,0,14,0,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
201,0,14,1,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
202,0,14,2,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
203,0,14,3,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
204,0,14,4,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
205,0,14,5,61200.012,0.0,0.0,-4.0,-55080.010800000004,0,
