id,x,y,z,dest,phase,AuRec,AuFA,tons,co3,orgc,sulf,Mcost,Pcost,Tcost,Tvalue,Bvalue,rc_Stockpile,rc_RockChar,blockvalue,destination,period
0,23,23,37,1,2,0.56,0.03411,2406.01492,10.2,0.3,1.4,1.901,28.28,0.18,-13.17,-31686,1,ssf,-31686,1,
1,24,20,37,1,2,0.22,0.03123,2406.01492,9.5,0.5,1.8,1.901,28.28,0.18,-24.177,-58171,1,ssf,-58171,1,
2,24,21,37,1,2,0.63,0.04087,2406.01492,10.2,0.3,1.4,1.901,28.28,0.18,-7.188,-17294,1,ssf,-17294,1,
3,24,22,37,1,2,0.5,0.0492,2406.01492,1.9,0.5,2.7,1.901,28.28,0.18,-8.221,-19780,4,ssf,-19780,1,
4,24,23,37,1,2,0.53,0.05288,2406.01492,2.8,0.5,2.5,1.901,28.28,0.18,-5.137,-12360,4,lsf,-12360,1,
5,24,24,37,1,2,0.46,0.04572,2406.01492,3.1,0.5,2.5,1.901,28.28,0.18,-11.433,-27508,4,ssf,-27508,1,
6,25,19,37,1,2,0.41,0.03361,2406.01492,9.6,0.4,0.9,1.901,28.28,0.18,-17.959,-43209,1,ssf,-43209,1,
7,25,20,37,1,2,0.39,0.0406,2406.01492,2.1,0.5,2.3,1.901,28.28,0.18,-16.11,-38762,4,ssf,-38762,1,
8,26,17,37,1,2,0.39,0.03235,2406.01492,11.4,0.4,0.9,1.901,28.28,0.18,-19.006,-45729,1,ssf,-45729,1,
9,26,18,37,1,2,0.2,0.03684,2406.01492,3.7,0.6,2.6,1.901,28.28,0.18,-23.73,-57094,4,ssf,-57094,1,
10,26,19,37,1,2,0.29,0.04127,2406.01492,0.5,0.6,2.2,1.901,28.28,0.18,-19.59,-47133,4,ssf,-47133,1,
11,26,21,37,1,2,0.46,0.05505,2406.01492,1.8,0.6,2.8,1.901,28.28,0.18,-7.57,-18214,4,lsf,-18214,1,
12,26,22,37,1,2,0.67,0.06113,2406.01492,1.8,0.4,3.3,1.901,28.28,0.18,6.5,15640,4,lsf,15640,1,
13,26,23,37,1,2,0.63,0.05373,2406.01492,1.8,0.4,3.2,1.901,28.28,0.18,0.104,250,4,lsf,250,1,
14,26,24,37,1,2,0.6,0.04928,2406.01492,1.8,0.4,3.2,1.901,28.28,0.18,-3.75,-9022,4,ssf,-9022,1,
15,27,17,37,1,2,0.3,0.04182,2406.01492,10.3,0.6,1.4,1.901,28.28,0.18,-19.07,-45882,1,ssf,-45882,1,
16,27,18,37,1,2,0.37,0.04715,2406.01492,3.7,0.6,2.6,1.901,28.28,0.18,-14.66,-35272,4,ssf,-35272,1,
17,27,19,37,1,2,0.43,0.0521,2406.01492,3.7,0.6,2.6,1.901,28.28,0.18,-10.198,-24537,4,lsf,-24537,1,
18,27,20,37,1,2,0.52,0.06148,2406.01492,0.5,0.6,2.2,1.901,28.28,0.18,-1.588,-3822,4,lsf,-3822,1,
19,27,21,37,1,2,0.61,0.06415,2406.01492,0.5,0.9,2.2,1.901,28.28,0.18,4.857,11687,8,lsf,11687,1,
20,27,23,37,1,2,0.59,0.04897,2406.01492,1.6,0.4,3.3,1.901,28.28,0.18,-4.358,-10485,4,ssf,-10485,1,
21,27,24,37,1,2,0.4,0.0327,2406.01492,1.5,0.4,3.3,1.901,28.28,0.18,-18.589,-44725,4,ssf,-44725,1,
22,13,23,38,1,2,0.32,0.0362,2406.01492,8.7,0.5,1.8,1.89,28.28,0.18,-19.924,-47938,1,ssf,-47938,1,
23,13,24,38,1,2,0.42,0.04236,2406.01492,8.6,0.5,1.9,1.89,28.28,0.18,-14.338,-34497,1,ssf,-34497,1,
24,14,22,38,1,2,0.22,0.03147,2406.01492,0.4,0.5,2.3,1.89,28.28,0.18,-24.119,-58031,4,ssf,-58031,1,
25,14,23,38,1,2,0.4,0.04108,2406.01492,0.3,0.5,2.3,1.89,28.28,0.18,-15.561,-37440,4,ssf,-37440,1,
26,14,24,38,1,2,0.42,0.04239,2406.01492,0.4,0.5,2.3,1.89,28.28,0.18,-14.327,-34470,4,ssf,-34470,1,
27,14,27,38,1,2,0.35,0.03761,2406.01492,8.1,0.5,1.9,1.89,28.28,0.18,-18.503,-44518,1,ssf,-44518,1,
28,15,21,38,1,2,0.22,0.03135,2406.01492,0.3,0.5,2.2,1.89,28.28,0.18,-24.143,-58088,4,ssf,-58088,1,
29,15,22,38,1,2,0.53,0.04254,2406.01492,0.2,0.4,1.9,1.89,28.28,0.18,-10.058,-24201,4,ssf,-24201,1,
30,15,23,38,1,2,0.59,0.04877,2406.01492,0.3,0.4,1.9,1.89,28.28,0.18,-4.453,-10714,4,ssf,-10714,1,
31,15,24,38,1,2,0.49,0.04803,2406.01492,0.4,0.5,2.2,1.89,28.28,0.18,-9.169,-22060,4,ssf,-22060,1,
32,15,25,38,1,2,0.42,0.04285,2406.01492,0.5,0.5,2.3,1.89,28.28,0.18,-14.153,-34052,4,ssf,-34052,1,
33,15,27,38,1,2,0.06,0.03133,2406.01492,0.5,0.6,2.1,1.89,28.28,0.18,-28.658,-68952,4,ssf,-68952,1,
34,15,29,38,1,2,0.38,0.03179,2406.01492,0.7,0.4,2.2,1.89,28.28,0.18,-19.478,-46864,4,ssf,-46864,1,
35,15,31,38,1,2,0.22,0.03128,2406.01492,0.3,0.5,2.3,1.89,28.28,0.18,-24.157,-58121,4,ssf,-58121,1,
36,15,32,38,1,2,0.38,0.03974,2406.01492,0.3,0.5,2.3,1.89,28.28,0.18,-16.759,-40322,4,ssf,-40322,1,
37,15,33,38,1,2,0.58,0.04737,2406.01492,0.3,0.4,0.9,1.89,28.28,0.18,-5.623,-13529,4,ssf,-13529,1,
38,16,21,38,1,2,0.16,0.03513,2406.01492,10.5,0.6,0.9,1.89,28.28,0.18,-25.291,-60851,1,ssf,-60851,1,
39,16,22,38,1,2,0.42,0.04237,2406.01492,0.3,0.5,2.0,1.89,28.28,0.18,-14.334,-34488,4,ssf,-34488,1,
40,16,23,38,1,2,0.47,0.04656,2406.01492,0.3,0.5,2.0,1.89,28.28,0.18,-10.655,-25636,4,ssf,-25636,1,
41,16,24,38,1,2,0.47,0.04634,2406.01492,0.4,0.5,2.0,1.89,28.28,0.18,-10.748,-25860,4,ssf,-25860,1,
42,16,25,38,1,2,0.46,0.04539,2406.01492,0.5,0.5,2.1,1.89,28.28,0.18,-11.559,-27810,4,ssf,-27810,1,
43,16,26,38,1,2,0.34,0.03751,2406.01492,0.6,0.5,2.2,1.89,28.28,0.18,-18.872,-45406,4,ssf,-45406,1,
44,16,29,38,1,2,0.46,0.03649,2406.01492,0.7,0.4,2.3,1.89,28.28,0.18,-15.243,-36675,4,ssf,-36675,1,
45,16,30,38,1,2,0.54,0.04303,2406.01492,0.7,0.4,1.6,1.89,28.28,0.18,-9.437,-22707,4,ssf,-22707,1,
46,16,32,38,1,2,0.63,0.06711,2406.01492,2.2,0.8,2.6,1.89,28.28,0.18,7.701,18530,8,lsf,18530,1,
47,16,33,38,1,2,0.64,0.06974,2406.01492,2.2,0.8,2.6,1.89,28.28,0.18,9.82,23628,8,lsf,23628,1,
48,17,22,38,1,2,0.12,0.03337,2406.01492,9.7,0.6,1.3,1.89,28.28,0.18,-26.746,-64351,1,ssf,-64351,1,
49,17,23,38,1,2,0.24,0.03884,2406.01492,9.6,0.6,1.3,1.89,28.28,0.18,-21.961,-52837,1,ssf,-52837,1,
50,17,24,38,1,2,0.31,0.04289,2406.01492,9.3,0.6,1.3,1.89,28.28,0.18,-18.384,-44231,1,ssf,-44231,1,
51,17,25,38,1,2,0.37,0.03927,2406.01492,8.3,0.5,1.8,1.89,28.28,0.18,-17.273,-41559,1,ssf,-41559,1,
52,17,30,38,1,2,0.55,0.04378,2406.01492,0.7,0.4,2.3,1.89,28.28,0.18,-8.679,-20882,4,ssf,-20882,1,
53,17,31,38,1,2,0.61,0.06349,2406.01492,0.1,0.8,1.6,1.89,28.28,0.18,4.506,10842,8,lsf,10842,1,
54,17,32,38,1,2,0.68,0.07895,2406.01492,0.1,0.7,2.7,1.89,28.28,0.18,17.967,43230,8,msf,43230,1,
55,17,33,38,1,2,0.66,0.07357,2406.01492,2.0,0.8,2.6,1.89,28.28,0.18,13.351,32122,8,lsf,32122,1,
56,18,23,38,1,2,0.19,0.03006,2406.01492,8.9,0.5,1.6,1.89,28.28,0.18,-25.21,-60655,1,ssf,-60655,1,
57,18,24,38,1,2,0.1,0.03268,2406.01492,8.7,0.6,1.5,1.89,28.28,0.18,-27.409,-65946,1,ssf,-65946,1,
58,22,10,38,1,2,0.23,0.03167,2406.01492,11.1,0.5,0.3,1.89,28.28,0.18,-23.794,-57249,1,ssf,-57249,1,
59,22,16,38,1,2,0.49,0.03899,2406.01492,10.8,0.4,1.4,1.89,28.28,0.18,-13.155,-31652,1,ssf,-31652,1,
60,22,17,38,1,2,0.55,0.04409,2406.01492,10.5,0.4,1.4,1.89,28.28,0.18,-8.525,-20512,1,ssf,-20512,1,
61,22,18,38,1,2,0.46,0.04542,2406.01492,10.4,0.5,1.5,1.89,28.28,0.18,-11.546,-27780,1,ssf,-27780,1,
62,22,19,38,1,2,0.39,0.04006,2406.01492,10.1,0.5,1.8,1.89,28.28,0.18,-16.289,-39191,1,ssf,-39191,1,
63,22,20,38,1,2,0.3,0.03484,2406.01492,9.5,0.5,1.8,1.89,28.28,0.18,-20.943,-50390,1,ssf,-50390,1,
64,23,8,38,1,2,0.27,0.04051,2406.01492,4.1,0.6,3.2,1.89,28.28,0.18,-20.506,-49338,1,ssf,-49338,1,
65,23,9,38,1,2,0.28,0.04076,2406.01492,4.2,0.6,3.1,1.89,28.28,0.18,-20.078,-48309,1,ssf,-48309,1,
66,23,11,38,1,2,0.17,0.03529,2406.01492,10.9,0.6,0.3,1.89,28.28,0.18,-24.951,-60032,1,ssf,-60032,1,
67,23,16,38,1,2,0.45,0.03581,2406.01492,10.8,0.4,1.4,1.89,28.28,0.18,-15.847,-38128,1,ssf,-38128,1,
68,23,17,38,1,2,0.49,0.03838,2406.01492,10.7,0.4,1.4,1.89,28.28,0.18,-13.424,-32299,1,ssf,-32299,1,
69,23,18,38,1,2,0.32,0.03628,2406.01492,10.5,0.5,1.8,1.89,28.28,0.18,-19.901,-47883,1,ssf,-47883,1,
70,23,19,38,1,2,0.29,0.03473,2406.01492,10.0,0.5,1.8,1.89,28.28,0.18,-21.285,-51213,1,ssf,-51213,1,
71,23,22,38,1,2,0.52,0.03114,2406.01492,10.2,0.3,1.4,1.89,28.28,0.18,-15.776,-37958,1,ssf,-37958,1,
72,23,23,38,1,2,0.61,0.03844,2406.01492,10.2,0.3,1.4,1.89,28.28,0.18,-9.246,-22247,1,ssf,-22247,1,
73,23,24,38,1,2,0.25,0.03267,2406.01492,0.1,0.5,1.7,1.89,28.28,0.18,-22.999,-55337,4,ssf,-55337,1,
74,24,16,38,1,2,0.44,0.03529,2406.01492,11.1,0.4,1.4,1.89,28.28,0.18,-16.375,-39399,1,ssf,-39399,1,
75,24,17,38,1,2,0.43,0.03444,2406.01492,10.8,0.4,1.4,1.89,28.28,0.18,-17.022,-40955,1,ssf,-40955,1,
76,24,21,38,1,2,0.44,0.05299,2406.01492,1.7,0.6,2.7,1.89,28.28,0.18,-9.366,-22535,4,lsf,-22535,1,
77,24,22,38,1,2,0.53,0.06388,2406.01492,1.9,0.6,2.7,1.89,28.28,0.18,0.121,291,4,lsf,291,1,
78,24,23,38,1,2,0.54,0.06399,2406.01492,3.1,0.6,2.5,1.89,28.28,0.18,0.749,1802,4,lsf,1802,1,
79,24,24,38,1,2,0.42,0.05091,2406.01492,3.1,0.6,2.5,1.89,28.28,0.18,-11.106,-26721,4,ssf,-26721,1,
80,25,7,38,1,2,0.67,0.04539,2406.01492,2.7,0.3,2.6,1.89,28.28,0.18,-2.98,-7170,4,ssf,-7170,1,
81,25,9,38,1,2,0.59,0.06157,2406.01492,1.4,0.9,2.2,1.89,28.28,0.18,2.344,5639,8,lsf,5639,1,10
82,25,10,38,1,2,0.6,0.06196,2406.01492,1.4,0.9,2.3,1.89,28.28,0.18,3.108,7479,8,lsf,7479,1,10
83,25,11,38,1,2,0.62,0.06524,2406.01492,1.4,0.9,2.2,1.89,28.28,0.18,6.054,14566,8,lsf,14566,1,8
