id,x,y,z,cost,value,rock_tonnes,ore_tonnes,blockvalue,period
0,78,20,0,535,3053.72,535,535,2518.72,
1,77,19,1,540,3870.72,540,540,3330.72,
2,78,19,1,540,3870.72,540,540,3330.72,
3,76,20,1,540,3870.72,540,540,3330.72,23
4,77,20,1,540,3870.72,540,540,3330.72,23
5,78,20,1,540,3870.72,540,540,3330.72,23
6,81,19,1,540,3870.72,540,540,3330.72,23
7,81,20,0,540,3753.72,540,540,3213.72,23
8,79,20,0,540,3753.72,540,540,3213.72,23
9,80,20,0,540,3753.72,540,540,3213.72,23
10,79,19,1,540,3870.72,540,540,3330.72,23
11,80,19,1,540,3870.72,540,540,3330.72,23
12,81,20,1,540,3870.72,540,540,3330.72,23
13,80,20,1,540,3870.72,540,540,3330.72,23
14,79,20,1,540,3870.72,540,540,3330.72,23
15,84,20,0,540,3753.72,540,540,3213.72,
16,84,20,1,540,3870.72,540,540,3330.72,23
17,82,20,0,540,3753.72,540,540,3213.72,23
18,83,20,0,540,3753.72,540,540,3213.72,
19,83,20,1,540,3870.72,540,540,3330.72,23
20,82,19,1,540,3870.72,540,540,3330.72,23
21,84,19,1,540,3870.72,540,540,3330.72,
22,83,19,1,540,3870.72,540,540,3330.72,
23,82,20,1,540,3870.72,540,540,3330.72,23
24,86,20,1,540,3844.72,540,540,3304.72,23
25,87,20,0,540,3822.72,540,540,3282.72,
26,86,19,1,540,3844.72,540,540,3304.72,
27,85,19,1,540,3844.72,540,540,3304.72,
28,87,19,1,540,3844.72,540,540,3304.72,
29,85,20,0,540,3822.72,540,540,3282.72,
30,86,18,1,540,3844.72,540,540,3304.72,
31,87,20,1,540,3844.72,540,540,3304.72,
32,87,18,1,540,3844.72,540,540,3304.72,
33,86,19,0,540,3822.72,540,540,3282.72,
34,86,20,0,540,3822.72,540,540,3282.72,
35,85,20,1,540,3844.72,540,540,3304.72,23
36,87,19,0,540,3822.72,540,540,3282.72,
37,90,20,1,540,3844.72,540,540,3304.72,23
38,88,19,1,540,3844.72,540,540,3304.72,
39,89,19,1,540,3844.72,540,540,3304.72,
40,88,20,0,540,3822.72,540,540,3282.72,
41,89,20,1,540,3844.72,540,540,3304.72,23
42,88,20,1,540,3844.72,540,540,3304.72,
43,89,20,0,540,3822.72,540,540,3282.72,
44,90,19,1,540,3844.72,540,540,3304.72,
45,90,20,0,540,3822.72,540,540,3282.72,
46,91,20,0,540,3822.72,540,540,3282.72,
47,91,19,1,540,3844.72,540,540,3304.72,
48,92,20,1,540,3844.72,540,540,3304.72,
49,91,20,1,540,3844.72,540,540,3304.72,
50,93,20,1,540,3844.72,540,540,3304.72,
51,94,20,1,540,3844.72,540,540,3304.72,
52,78,23,1,535,2621.72,535,535,2086.72,22
53,77,22,1,530,1768.72,530,530,1238.72,23
54,78,22,1,540,3473.72,540,540,2933.72,23
55,76,21,1,535,3002.72,535,535,2467.72,23
56,77,21,1,540,3870.72,540,540,3330.72,23
57,78,21,1,540,3870.72,540,540,3330.72,23
58,80,21,1,540,3870.72,540,540,3330.72,23
59,80,21,0,540,3753.72,540,540,3213.72,23
60,79,22,1,540,3473.72,540,540,2933.72,23
61,81,21,0,540,3753.72,540,540,3213.72,23
62,79,21,1,540,3870.72,540,540,3330.72,23
63,81,23,0,530,1769.72,530,530,1239.72,23
64,81,22,1,540,3476.72,540,540,2936.72,22
65,79,21,0,535,2886.72,535,535,2351.72,23
66,81,21,1,540,3870.72,540,540,3330.72,23
67,80,23,1,540,3476.72,540,540,2936.72,22
68,81,22,0,540,3471.72,540,540,2931.72,23
69,80,22,0,525,918.72,525,525,393.72,
70,81,23,1,540,3476.72,540,540,2936.72,22
71,79,23,1,540,3473.72,540,540,2933.72,22
72,80,22,1,540,3476.72,540,540,2936.72,23
73,84,22,0,540,3471.72,540,540,2931.72,22
74,82,21,0,540,3753.72,540,540,3213.72,23
75,82,23,1,540,3476.72,540,540,2936.72,21
76,84,21,1,540,3870.72,540,540,3330.72,22
77,83,21,1,540,3870.72,540,540,3330.72,23
78,82,21,1,540,3870.72,540,540,3330.72,23
79,84,23,1,540,3476.72,540,540,2936.72,21
80,84,22,1,540,3476.72,540,540,2936.72,22
81,83,22,1,540,3476.72,540,540,2936.72,22
82,82,22,1,540,3476.72,540,540,2936.72,22
83,84,21,0,540,3753.72,540,540,3213.72,23
84,83,21,0,540,3753.72,540,540,3213.72,23
85,83,23,1,540,3476.72,540,540,2936.72,21
86,82,23,0,540,3471.72,540,540,2931.72,22
87,84,23,0,540,3471.72,540,540,2931.72,22
88,83,22,0,540,3471.72,540,540,2931.72,23
89,82,22,0,540,3471.72,540,540,2931.72,23
90,83,23,0,540,3471.72,540,540,2931.72,22
91,86,22,1,540,3344.72,540,540,2804.72,22
92,86,23,0,540,3085.72,540,540,2545.72,22
93,86,23,1,540,3344.72,540,540,2804.72,21
94,87,23,1,540,3344.72,540,540,2804.72,20
95,85,21,0,540,3821.72,540,540,3281.72,23
96,87,21,1,540,3844.72,540,540,3304.72,23
97,85,21,1,540,3844.72,540,540,3304.72,23
98,87,23,0,540,3085.72,540,540,2545.72,22
99,86,21,0,540,3821.72,540,540,3281.72,23
100,87,21,0,540,3821.72,540,540,3281.72,
101,85,23,1,540,3344.72,540,540,2804.72,21
102,86,21,1,540,3844.72,540,540,3304.72,23
103,85,22,0,540,3085.72,540,540,2545.72,23
104,86,22,0,540,3085.72,540,540,2545.72,23
105,87,22,0,540,3085.72,540,540,2545.72,23
106,85,23,0,540,3085.72,540,540,2545.72,21
107,85,22,1,540,3344.72,540,540,2804.72,21
108,87,22,1,540,3344.72,540,540,2804.72,22
109,89,23,0,540,3085.72,540,540,2545.72,22
110,89,23,1,540,3344.72,540,540,2804.72,22
111,90,23,1,540,3344.72,540,540,2804.72,22
112,89,22,0,540,3085.72,540,540,2545.72,23
113,88,21,0,540,3821.72,540,540,3281.72,
114,90,23,0,540,3085.72,540,540,2545.72,23
115,88,23,1,540,3344.72,540,540,2804.72,21
116,88,23,0,540,3085.72,540,540,2545.72,22
117,90,22,0,540,3085.72,540,540,2545.72,23
118,90,21,0,540,3821.72,540,540,3281.72,23
119,88,22,0,540,3085.72,540,540,2545.72,23
120,89,21,0,540,3821.72,540,540,3281.72,23
121,89,22,1,540,3344.72,540,540,2804.72,22
122,90,22,1,540,3344.72,540,540,2804.72,23
123,90,21,1,540,3844.72,540,540,3304.72,23
124,88,21,1,540,3844.72,540,540,3304.72,23
125,88,22,1,540,3344.72,540,540,2804.72,22
126,89,21,1,540,3844.72,540,540,3304.72,23
127,92,22,1,540,3344.72,540,540,2804.72,23
128,93,21,1,540,3844.72,540,540,3304.72,23
129,92,21,1,540,3844.72,540,540,3304.72,23
130,91,21,1,540,3844.72,540,540,3304.72,23
131,93,22,0,540,3085.72,540,540,2545.72,23
132,92,22,0,540,3085.72,540,540,2545.72,23
133,91,22,0,540,3085.72,540,540,2545.72,23
134,91,23,0,540,3085.72,540,540,2545.72,23
135,93,21,0,540,3821.72,540,540,3281.72,
136,92,21,0,540,3821.72,540,540,3281.72,
137,91,21,0,540,3821.72,540,540,3281.72,
138,92,23,1,540,3344.72,540,540,2804.72,22
139,93,23,1,540,3344.72,540,540,2804.72,23
140,91,23,1,540,3344.72,540,540,2804.72,22
141,92,23,0,540,3085.72,540,540,2545.72,23
142,93,23,0,540,3085.72,540,540,2545.72,23
143,91,22,1,540,3344.72,540,540,2804.72,23
144,93,22,1,540,3344.72,540,540,2804.72,23
145,96,22,0,540,2935.72,540,540,2395.72,
146,95,23,0,540,2935.72,540,540,2395.72,23
147,96,23,0,540,2935.72,540,540,2395.72,23
148,96,22,1,540,3133.72,540,540,2593.72,23
149,94,23,0,540,3085.72,540,540,2545.72,23
150,94,22,1,540,3344.72,540,540,2804.72,23
151,95,22,1,540,3133.72,540,540,2593.72,23
152,94,21,0,540,3821.72,540,540,3281.72,
153,94,23,1,540,3344.72,540,540,2804.72,23
154,95,22,0,540,2935.72,540,540,2395.72,
155,94,22,0,540,3085.72,540,540,2545.72,
156,96,21,1,540,2995.72,540,540,2455.72,
157,95,23,1,540,3133.72,540,540,2593.72,23
158,96,23,1,540,3133.72,540,540,2593.72,23
159,94,21,1,540,3844.72,540,540,3304.72,
160,95,21,1,540,2995.72,540,540,2455.72,
161,99,22,1,540,3133.72,540,540,2593.72,
162,98,22,1,540,3133.72,540,540,2593.72,
163,97,22,1,540,3133.72,540,540,2593.72,
164,98,23,1,540,3133.72,540,540,2593.72,23
165,97,21,1,540,2995.72,540,540,2455.72,
166,97,23,1,540,3133.72,540,540,2593.72,23
167,99,23,1,540,3133.72,540,540,2593.72,23
168,100,23,1,540,3133.72,540,540,2593.72,
169,101,22,1,540,3133.72,540,540,2593.72,
170,102,23,1,540,3133.72,540,540,2593.72,
171,100,22,1,540,3133.72,540,540,2593.72,
172,101,23,1,540,3133.72,540,540,2593.72,
173,103,23,1,540,3133.72,540,540,2593.72,
174,104,23,1,540,3133.72,540,540,2593.72,
175,105,23,1,540,3327.72,540,540,2787.72,
176,106,23,1,540,3327.72,540,540,2787.72,
177,108,23,1,525,960.72,525,525,435.72,
178,107,23,1,540,3327.72,540,540,2787.72,
179,109,23,1,525,1294.72,525,525,769.72,
180,119,23,1,530,1685.72,530,530,1155.72,
181,120,23,1,540,2919.72,540,540,2379.72,
182,123,23,1,540,2584.72,540,540,2044.7199999999998,23
183,122,23,1,540,2696.72,540,540,2156.72,23
184,121,23,1,540,2807.72,540,540,2267.72,
185,123,22,1,540,2919.72,540,540,2379.72,
186,122,22,1,540,2919.72,540,540,2379.72,
187,125,22,1,540,2832.72,540,540,2292.72,23
188,124,22,1,540,2807.72,540,540,2267.72,
189,126,22,1,540,2954.72,540,540,2414.72,23
190,125,23,1,540,2469.72,540,540,1929.7199999999998,23
191,124,23,1,540,2473.72,540,540,1933.7199999999998,23
192,126,23,1,540,2590.72,540,540,2050.72,22
193,129,23,1,540,3076.72,540,540,2536.72,22
194,128,23,1,540,2955.72,540,540,2415.72,22
195,127,23,1,540,2832.72,540,540,2292.72,22
196,129,22,1,540,3452.72,540,540,2912.72,22
197,127,22,1,540,3075.72,540,540,2535.72,23
198,128,22,1,540,3197.72,540,540,2657.72,23
199,130,23,1,540,3197.72,540,540,2657.72,22
200,131,23,1,540,3437.72,540,540,2897.72,22
201,132,23,1,540,3565.72,540,540,3025.72,22
202,132,22,1,540,3941.72,540,540,3401.72,22
203,131,22,1,540,3685.72,540,540,3145.72,22
