id,x,y,z,tonn,ore,waste,ni,grade,process,blockvalue,destination,period
0,50,34,98,8336.3,0.0,8336.3,0.0,0.0,0.0,-29176.7,0,
1,51,34,98,8336.3,0.0,8336.3,0.0,0.0,0.0,-29176.7,0,
2,52,34,98,8336.3,0.0,8336.3,0.0,0.0,0.0,-29176.7,0,
3,53,34,98,8336.3,0.0,8336.3,0.0,0.0,0.0,-29176.7,0,
4,50,34,97,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
5,51,34,97,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
6,52,34,97,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
7,53,34,97,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
8,54,34,97,16672.5,0.0,16672.5,0.0,0.0,0.0,-58353.6,0,
9,52,33,96,4168.1,0.0,4168.1,0.0,0.0,0.0,-14588.3,0,
10,50,34,96,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
11,51,34,96,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
12,52,34,96,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
13,53,34,96,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
14,54,34,96,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
15,52,33,95,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
16,50,34,95,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
17,51,34,95,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
18,52,34,95,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
19,53,34,95,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
20,54,34,95,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
21,52,33,94,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
22,53,33,94,4168.1,0.0,4168.1,0.0,0.0,0.0,-14588.3,0,
23,49,34,94,23619.4,0.0,23619.4,0.0,0.0,0.0,-82667.7,0,
24,50,34,94,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
25,51,34,94,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
26,52,34,94,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
27,53,34,94,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
28,54,34,94,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
29,33,12,93,36.5,0.0,36.5,0.0,0.0,0.0,-127.7,0,13
30,34,12,93,82.0,0.0,82.0,0.0,0.0,0.0,-287.1,0,19
