id,x,y,z,blockvalue,ton,destination,Au(oz/ton),period
0,31,208,44,-646,489.58,0,0.038,9
1,32,208,44,-646,489.58,0,0.039,8
2,33,208,44,2759,239.58,1,0.039,8
3,31,209,44,-1334,1010.42,0,0.039,9
4,32,209,44,13843,1010.42,1,0.042,8
5,33,209,44,15962,989.58,1,0.045,8
6,34,209,44,-1286,968.75,0,0.039,8
7,35,209,44,-1286,968.75,0,0.038,8
8,31,210,44,10896,1041.67,1,0.038,9
9,32,210,44,11740,1041.67,1,0.039,8
10,33,210,44,-1375,1041.67,0,0.04,8
11,34,210,44,-1375,1041.67,0,0.039,8
12,35,210,44,10896,1041.67,1,0.038,8
13,30,211,44,6543,906.25,1,0.034,9
14,31,211,44,9208,1041.67,1,0.036,9
15,32,211,44,-1375,1041.67,0,0.038,9
16,33,211,44,-1375,1041.67,0,0.038,9
17,34,211,44,10896,1041.67,1,0.038,9
18,35,211,44,7355,708.33,1,0.038,8
19,30,212,44,2669,552.08,1,0.031,9
20,31,212,44,-866,656.25,0,0.034,9
21,32,212,44,-749,562.5,0,0.035,9
22,33,212,44,-674,510.42,0,0.038,9
23,34,212,44,-241,187.5,1,0.038,9
24,30,213,44,-282,218.75,1,0.028,9
25,31,213,44,-316,239.58,0,0.03,9
26,32,213,44,-186,135.42,0,0.032,9
27,32,206,43,-660,500.0,0,0.042,8
28,33,206,43,-571,437.5,0,0.042,8
29,34,206,43,-364,281.25,1,0.042,5
30,32,207,43,-1341,1020.83,0,0.042,8
31,33,207,43,-1162,875.0,0,0.042,8
32,34,207,43,7706,562.5,1,0.042,8
33,35,207,43,3282,239.58,1,0.042,5
34,32,208,43,-1375,1041.67,0,0.043,9
35,33,208,43,-1375,1041.67,0,0.044,8
36,34,208,43,14737,1020.83,1,0.043,8
37,35,208,43,-1299,979.17,0,0.042,8
38,36,208,43,-983,750.0,0,0.042,5
39,37,208,43,-447,343.75,0,0.0,1
40,32,209,43,-1375,1041.67,0,0.047,9
41,33,209,43,21021,1041.67,1,0.05,8
42,34,209,43,15115,1041.67,1,0.043,8
43,35,209,43,-1375,1041.67,0,0.042,8
44,36,209,43,-1375,1041.67,0,0.042,8
45,37,209,43,-1286,968.75,0,0.0,5
46,38,209,43,-392,291.67,0,0.0,5
47,32,210,43,15958,1041.67,1,0.044,8
48,33,210,43,15958,1041.67,1,0.044,8
49,34,210,43,-1375,1041.67,0,0.043,9
50,35,210,43,-1375,1041.67,0,0.042,8
51,36,210,43,11131,812.5,1,0.042,8
52,37,210,43,-743,562.5,0,0.0,8
53,38,210,43,-275,208.33,0,0.0,6
54,31,211,43,11740,1041.67,1,0.039,9
55,32,211,43,14271,1041.67,1,0.042,9
56,33,211,43,-1375,1041.67,0,0.042,9
57,34,211,43,-1375,1041.67,0,0.042,9
58,35,211,43,14271,1041.67,1,0.042,8
59,36,211,43,5280,385.42,1,0.042,8
60,37,211,43,-62,41.67,0,0.0,8
61,38,211,43,-48,31.25,0,0.0,8
62,30,212,43,5833,1041.67,1,0.032,9
63,31,212,43,8365,1041.67,1,0.035,9
64,32,212,43,-1375,1041.67,0,0.037,9
65,34,212,43,-1375,1041.67,0,0.042,9
66,35,212,43,13201,968.75,1,0.042,8
67,34,213,43,-523,395.83,0,0.0,9
68,32,218,43,-34,31.25,1,0.014,9
69,31,219,43,-34,31.25,1,0.014,9
70,34,202,42,-89,72.92,0,0.0,5
71,33,203,42,-681,510.42,0,0.0,8
72,34,203,42,-433,333.33,0,0.0,5
73,35,203,42,-117,83.33,0,0.0,1
74,33,204,42,-1018,770.83,0,0.0,8
75,34,204,42,-825,625.0,0,0.0,5
76,35,204,42,-433,333.33,0,0.0,1
77,32,205,42,-1361,1031.25,0,0.0,8
78,33,205,42,-1361,1031.25,0,0.0,8
79,34,205,42,-1354,1020.83,0,0.0,5
